--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀381.00, hokan nasi offset_x_cm for ac: 0.00, offset_x_cm for ac: 0.00, filterd_offset_x_cm: 0.00
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32115, curr_params.time_get_image: 15577, offset_y_cm from origin: 26.04, hokan nasi offset_x_cm for ac: -43.38, offset_x_cm for ac: -43.52, filterd_offset_x_cm: -43.98
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32127, curr_params.time_get_image: 15577, offset_y_cm from origin: 27.04, hokan nasi offset_x_cm for ac: -43.14, offset_x_cm for ac: -43.29, filterd_offset_x_cm: -43.80
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32139, curr_params.time_get_image: 15577, offset_y_cm from origin: 28.04, hokan nasi offset_x_cm for ac: -42.92, offset_x_cm for ac: -43.09, filterd_offset_x_cm: -43.61
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32151, curr_params.time_get_image: 15577, offset_y_cm from origin: 29.04, hokan nasi offset_x_cm for ac: -42.73, offset_x_cm for ac: -42.92, filterd_offset_x_cm: -43.42
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32163, curr_params.time_get_image: 15577, offset_y_cm from origin: 31.04, hokan nasi offset_x_cm for ac: -42.57, offset_x_cm for ac: -42.81, filterd_offset_x_cm: -43.25
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32175, curr_params.time_get_image: 15577, offset_y_cm from origin: 32.04, hokan nasi offset_x_cm for ac: -42.44, offset_x_cm for ac: -42.70, filterd_offset_x_cm: -43.10
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32187, curr_params.time_get_image: 15577, offset_y_cm from origin: 33.04, hokan nasi offset_x_cm for ac: -42.31, offset_x_cm for ac: -42.60, filterd_offset_x_cm: -42.96
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32199, curr_params.time_get_image: 15577, offset_y_cm from origin: 35.04, hokan nasi offset_x_cm for ac: -42.21, offset_x_cm for ac: -42.56, filterd_offset_x_cm: -42.85
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32211, curr_params.time_get_image: 15577, offset_y_cm from origin: 36.04, hokan nasi offset_x_cm for ac: -42.13, offset_x_cm for ac: -42.50, filterd_offset_x_cm: -42.76
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32223, curr_params.time_get_image: 15577, offset_y_cm from origin: 37.04, hokan nasi offset_x_cm for ac: -42.05, offset_x_cm for ac: -42.45, filterd_offset_x_cm: -42.67
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32235, curr_params.time_get_image: 15577, offset_y_cm from origin: 39.04, hokan nasi offset_x_cm for ac: -41.99, offset_x_cm for ac: -42.45, filterd_offset_x_cm: -42.61
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32247, curr_params.time_get_image: 15577, offset_y_cm from origin: 40.04, hokan nasi offset_x_cm for ac: -41.93, offset_x_cm for ac: -42.43, filterd_offset_x_cm: -42.56
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32259, curr_params.time_get_image: 15577, offset_y_cm from origin: 42.04, hokan nasi offset_x_cm for ac: -41.89, offset_x_cm for ac: -42.44, filterd_offset_x_cm: -42.53
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32271, curr_params.time_get_image: 15577, offset_y_cm from origin: 43.04, hokan nasi offset_x_cm for ac: -41.85, offset_x_cm for ac: -42.43, filterd_offset_x_cm: -42.50
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32283, curr_params.time_get_image: 15577, offset_y_cm from origin: 44.04, hokan nasi offset_x_cm for ac: -41.81, offset_x_cm for ac: -42.43, filterd_offset_x_cm: -42.48
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32295, curr_params.time_get_image: 15577, offset_y_cm from origin: 46.04, hokan nasi offset_x_cm for ac: -41.79, offset_x_cm for ac: -42.47, filterd_offset_x_cm: -42.48
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32307, curr_params.time_get_image: 15577, offset_y_cm from origin: 47.04, hokan nasi offset_x_cm for ac: -41.76, offset_x_cm for ac: -42.47, filterd_offset_x_cm: -42.48
