--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141291, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141302, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141313, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141324, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141335, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141346, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141357, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141368, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141379, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141390, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
