--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀rigin: 0.00, hokan nasi offset_x_cm for ac: -46.40, offset_x_cm for ac: -46.38
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 154038, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.38, offset_x_cm for ac: -26.40
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 154049, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.33, offset_x_cm for ac: -26.35
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 154060, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.29, offset_x_cm for ac: -26.31
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 154071, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.24, offset_x_cm for ac: -26.26
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 154082, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.20, offset_x_cm for ac: -26.22
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 154093, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.16, offset_x_cm for ac: -26.18
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 154104, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.11, offset_x_cm for ac: -26.14
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154116, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.11, offset_x_cm for ac: -26.11
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154127, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.10, offset_x_cm for ac: -26.11
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154138, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.10, offset_x_cm for ac: -26.10
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154149, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.09, offset_x_cm for ac: -26.10
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154160, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.09, offset_x_cm for ac: -26.09
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154171, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.08, offset_x_cm for ac: -26.09
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154182, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.08, offset_x_cm for ac: -26.08
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154193, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.08, offset_x_cm for ac: -26.08
