--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀40.33, offset_x_cm for ac: -40.32
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109272, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.64, offset_x_cm for ac: -39.65
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109283, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.64, offset_x_cm for ac: -39.64
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109294, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.64, offset_x_cm for ac: -39.64
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109306, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.67, offset_x_cm for ac: -39.65
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109317, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.70, offset_x_cm for ac: -39.68
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109328, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.72, offset_x_cm for ac: -39.71
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109339, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.75, offset_x_cm for ac: -39.74
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109350, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.78, offset_x_cm for ac: -39.76
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109361, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.80, offset_x_cm for ac: -39.79
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109372, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.83, offset_x_cm for ac: -39.82
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109383, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.85, offset_x_cm for ac: -39.84
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109394, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.88, offset_x_cm for ac: -39.87
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109405, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.90, offset_x_cm for ac: -39.89
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109416, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.93, offset_x_cm for ac: -39.92
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109427, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.95, offset_x_cm for ac: -39.94
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109438, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.98, offset_x_cm for ac: -39.96
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109449, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.00, offset_x_cm for ac: -39.99
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109460, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.02, offset_x_cm for ac: -40.01
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109471, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.04, offset_x_cm for ac: -40.03
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109482, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.07, offset_x_cm for ac: -40.06
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109493, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.09, offset_x_cm for ac: -40.08
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109504, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.11, offset_x_cm for ac: -40.10
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109515, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.13, offset_x_cm for ac: -40.12
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.88, current_time_ms: 109526, curr_params.time_get_image: 38104, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.16, offset_x_cm for ac: -40.14
