send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36223, curr_params.time_get_image: 16516, offset_y_cm from origin: 31.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.65
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36234, curr_params.time_get_image: 16516, offset_y_cm from origin: 32.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.65
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36245, curr_params.time_get_image: 16516, offset_y_cm from origin: 33.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.66
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36256, curr_params.time_get_image: 16516, offset_y_cm from origin: 34.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.67
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36267, curr_params.time_get_image: 16516, offset_y_cm from origin: 35.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.68
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36278, curr_params.time_get_image: 16516, offset_y_cm from origin: 36.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.68
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36289, curr_params.time_get_image: 16516, offset_y_cm from origin: 37.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.69
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36300, curr_params.time_get_image: 16516, offset_y_cm from origin: 37.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.69
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36311, curr_params.time_get_image: 16516, offset_y_cm from origin: 38.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.70
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36322, curr_params.time_get_image: 16516, offset_y_cm from origin: 39.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.71
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36333, curr_params.time_get_image: 16516, offset_y_cm from origin: 40.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.71
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36344, curr_params.time_get_image: 16516, offset_y_cm from origin: 41.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.72
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -36.42, current_time_ms: 36355, curr_params.time_get_image: 16516, offset_y_cm from origin: 41.13, hokan nasi offset_x_cm for ac: -36.60, offset_x_cm for ac: -36.72
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36367, curr_params.time_get_image: 16751, offset_y_cm from origin: 17.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.89
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36378, curr_params.time_get_image: 16751, offset_y_cm from origin: 17.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.89
