--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
_m for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184300, curr_params.time_get_image: 39234, offset_y_cm from origin: 3.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.36
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184311, curr_params.time_get_image: 39234, offset_y_cm from origin: 3.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.36
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184322, curr_params.time_get_image: 39234, offset_y_cm from origin: 3.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.36
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184333, curr_params.time_get_image: 39234, offset_y_cm from origin: 3.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.36
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184344, curr_params.time_get_image: 39234, offset_y_cm from origin: 2.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.31
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184355, curr_params.time_get_image: 39234, offset_y_cm from origin: 2.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.31
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184366, curr_params.time_get_image: 39234, offset_y_cm from origin: 2.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.31
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184377, curr_params.time_get_image: 39234, offset_y_cm from origin: 2.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.31
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184388, curr_params.time_get_image: 39234, offset_y_cm from origin: 2.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.31
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184399, curr_params.time_get_image: 39234, offset_y_cm from origin: 1.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.27
