send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 562051, curr_params.time_get_image: 31892, offset_y_cm from origin: 0.85, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.60
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 562062, curr_params.time_get_image: 31892, offset_y_cm from origin: 0.85, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.60
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562074, curr_params.time_get_image: 32130, offset_y_cm from origin: 3.98, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.50
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562085, curr_params.time_get_image: 32130, offset_y_cm from origin: 3.98, hokan nasi offset_x_cm for ac: -63.51, offset_x_cm for ac: -63.50
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562096, curr_params.time_get_image: 32130, offset_y_cm from origin: 3.98, hokan nasi offset_x_cm for ac: -63.52, offset_x_cm for ac: -63.51
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562107, curr_params.time_get_image: 32130, offset_y_cm from origin: 3.98, hokan nasi offset_x_cm for ac: -63.52, offset_x_cm for ac: -63.52
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562118, curr_params.time_get_image: 32130, offset_y_cm from origin: 3.98, hokan nasi offset_x_cm for ac: -63.53, offset_x_cm for ac: -63.53
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562129, curr_params.time_get_image: 32130, offset_y_cm from origin: 3.98, hokan nasi offset_x_cm for ac: -63.54, offset_x_cm for ac: -63.53
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562140, curr_params.time_get_image: 32130, offset_y_cm from origin: 3.98, hokan nasi offset_x_cm for ac: -63.54, offset_x_cm for ac: -63.54
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562151, curr_params.time_get_image: 32130, offset_y_cm from origin: 3.98, hokan nasi offset_x_cm for ac: -63.55, offset_x_cm for ac: -63.55
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562162, curr_params.time_get_image: 32130, offset_y_cm from origin: 2.98, hokan nasi offset_x_cm for ac: -63.56, offset_x_cm for ac: -63.59
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562173, curr_params.time_get_image: 32130, offset_y_cm from origin: 2.98, hokan nasi offset_x_cm for ac: -63.56, offset_x_cm for ac: -63.59
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562184, curr_params.time_get_image: 32130, offset_y_cm from origin: 2.98, hokan nasi offset_x_cm for ac: -63.57, offset_x_cm for ac: -63.60
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562195, curr_params.time_get_image: 32130, offset_y_cm from origin: 2.98, hokan nasi offset_x_cm for ac: -63.57, offset_x_cm for ac: -63.60
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562206, curr_params.time_get_image: 32130, offset_y_cm from origin: 2.98, hokan nasi offset_x_cm for ac: -63.58, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562217, curr_params.time_get_image: 32130, offset_y_cm from origin: 2.98, hokan nasi offset_x_cm for ac: -63.58, offset_x_cm for ac: -63.61
